,Alpha_Abs_Power,Beta_Abs_Power,Gamma_Abs_Power,Delta_Abs_Power,Theta_Abs_Power,Alpha_Rel_Power,Beta_Rel_Power,Gamma_Rel_Power,Delta_Rel_Power,Theta_Rel_Power,Alpha_Osc_Power,Beta_Osc_Power,Gamma_Osc_Power,Delta_Osc_Power,Theta_Osc_Power,Alpha_FOOOF_1_45,Beta_FOOOF_1_45,Gamma_FOOOF_1_45,Delta_FOOOF_1_45,Theta_FOOOF_1_45,Alpha_FOOOF_1_45_offset,Beta_FOOOF_1_45_offset,Gamma_FOOOF_1_45_offset,Delta_FOOOF_1_45_offset,Theta_FOOOF_1_45_offset,Alpha_FOOOF_30_45,Beta_FOOOF_30_45,Gamma_FOOOF_30_45,Delta_FOOOF_30_45,Theta_FOOOF_30_45,Alpha_FOOOF_30_35_offset,Beta_FOOOF_30_35_offset,Gamma_FOOOF_30_35_offset,Delta_FOOOF_30_35_offset,Theta_FOOOF_30_35_offset
0,30.25,47.85,51.47,34.19,31.97,29.55,30.59,35.95,31.45,31.58,37.77,30.48,35.55,30.31,31.2,41.71,41.71,41.71,41.71,41.71,35.92,35.92,35.92,35.92,35.92,37.165,37.165,37.165,37.165,37.165,38.08666666666667,38.18833333333333,37.27333333333333,38.18833333333333,38.34
1,30.73,32.4,28.47,30.34,28.94,39.63,28.94,34.0,38.03,21.72,44.13,33.22,29.01,34.57,28.43,30.42,30.42,30.42,30.42,30.42,39.7,39.7,39.7,39.7,39.7,29.03,32.02,29.03,29.03,28.43,32.33333333333333,32.33333333333333,30.08833333333333,32.33333333333333,32.33333333333333
2,38.2,28.56,38.0,36.14,40.05,37.3,35.17,30.48,35.77,34.0,37.62,44.5,37.11,33.97,34.38,25.72,28.6,25.72,25.72,25.72,29.05,28.48,28.48,28.48,29.05,22.3,22.0,22.495,22.515,21.66,21.85,22.54166666666667,22.255,22.255,22.255
3,32.35,39.32,43.01,32.97,37.73,28.36,31.52,30.09,34.87,38.67,30.48,30.43,30.77,24.9,31.54,32.23,32.23,33.3,32.23,32.23,35.6,35.6,35.6,35.6,35.6,29.37,30.525,29.675,29.37,30.525,30.9,33.59,30.9,32.09,33.44
4,35.51,33.44,29.19,36.71,29.43,42.07,39.83,39.08,34.3,31.27,33.78,35.7,34.24,30.58,32.53,30.07,29.83,30.07,30.07,30.07,32.02,32.02,32.02,32.02,32.3,33.526666666666664,34.03,35.18666666666667,35.18666666666667,35.18666666666667,30.07,30.07,30.07,30.07,30.07
5,32.26,40.69,31.27,29.59,31.85,28.67,33.21,24.45,33.01,25.33,25.79,32.29,32.5,33.03,29.78,30.86,32.25,30.86,31.57,31.18,29.84,33.13,33.13,33.13,32.87,45.23666666666666,45.04,44.92666666666666,44.81,44.92666666666666,45.66316666666667,45.09,44.63,46.48299999999999,45.574333333333335
6,34.61,29.28,29.6,43.76,41.26,32.42,39.64,35.56,42.54,40.66,32.57,34.29,39.2,33.61,41.0,31.47,30.89,30.89,30.89,30.89,36.64,36.61,36.64,36.64,36.64,37.333333333333336,37.126666666666665,36.51916666666666,37.333333333333336,36.3325,37.32833333333333,38.089166666666664,37.0275,38.089166666666664,38.089166666666664
7,36.25,31.72,26.11,32.64,29.99,29.86,32.4,36.25,32.5,38.2,25.4,32.94,41.67,44.4,32.42,30.81,30.33,30.59,30.88,31.57,31.35,31.35,31.57,31.57,31.35,33.46416666666667,33.462500000000006,33.46416666666667,33.462500000000006,33.462500000000006,34.65833333333334,40.056000000000004,40.53350000000001,40.056000000000004,35.145
8,25.74,34.87,42.87,38.24,30.21,35.49,31.74,32.64,38.06,29.13,43.01,35.5,27.94,30.02,29.7,35.29,35.29,35.29,35.29,35.07,33.07,33.07,33.07,33.07,33.07,35.72916666666667,36.75,32.56333333333333,35.73083333333333,33.62833333333334,34.92666666666666,35.793833333333325,34.92666666666666,34.92666666666666,35.62916666666666
9,36.44,37.37,31.82,28.29,30.65,36.05,33.41,26.48,27.06,35.58,35.07,26.0,27.67,30.01,34.9,27.06,26.48,25.9,26.48,26.48,26.04,26.04,26.04,26.04,26.04,25.36916666666667,25.36916666666667,25.49916666666667,25.49916666666667,25.49916666666667,25.335833333333333,25.335833333333333,24.423333333333336,25.345833333333335,24.32
10,34.49,24.1,31.47,32.4,33.01,29.71,40.48,37.06,33.43,30.33,28.65,37.15,33.07,37.03,38.34,35.89,35.89,35.89,35.89,35.89,30.99,30.44,30.99,30.44,30.99,30.37166666666667,32.24523809523809,31.24857142857143,32.61333333333334,31.076666666666664,30.219166666666666,32.766238095238094,32.766238095238094,30.219166666666666,32.766238095238094
11,27.32,34.04,36.17,28.83,31.06,36.05,34.44,34.32,28.39,42.2,30.49,36.91,33.92,35.46,40.83,34.98,34.98,34.98,34.98,34.98,37.91,37.91,37.91,37.91,37.91,34.1875,34.1875,34.1875,34.1875,34.1875,29.1375,25.45,29.03,25.955,29.5
12,29.44,34.32,28.24,28.8,31.47,30.5,32.11,30.55,30.35,24.55,30.21,29.85,35.07,27.67,33.72,30.98,33.26,33.52,33.26,33.26,30.73,32.04,32.04,32.04,32.04,42.77416666666666,42.77416666666666,43.43166666666666,42.77416666666666,43.43166666666666,43.16416666666667,43.16416666666667,43.16416666666667,43.1275,43.16416666666667
13,35.38,28.27,27.38,34.82,49.08,39.09,43.07,39.93,34.57,40.52,42.73,33.15,30.01,33.09,35.38,31.54,31.54,31.54,33.02,31.54,30.96,30.96,30.96,30.96,30.96,27.017,27.54533333333333,27.54533333333333,27.54533333333333,27.208,25.627333333333336,26.786666666666665,25.627333333333336,27.3375,25.849
14,43.19,38.48,51.92,33.05,34.94,37.73,34.04,42.11,28.37,38.3,42.89,28.77,31.63,27.89,31.74,39.76,41.84,39.76,39.76,39.76,27.09,27.09,27.09,27.09,27.09,38.175,35.3,38.175,35.51,38.175,34.64533333333333,36.74,35.20333333333333,35.20333333333333,34.97
15,31.9,32.61,32.26,38.26,35.45,30.61,29.18,26.64,36.13,42.54,27.3,37.38,39.57,38.52,40.58,37.5,36.97,36.97,37.5,37.5,38.81,38.81,38.81,39.74,39.74,26.051666666666666,25.044999999999995,26.051666666666666,26.051666666666666,24.98333333333333,26.263333333333325,27.47833333333333,24.936666666666664,27.47833333333333,25.881666666666664
16,35.39,32.65,34.04,36.63,30.48,29.96,37.32,32.6,31.85,30.31,26.41,32.6,31.52,31.41,38.47,39.18,40.08,39.45,40.08,39.98,41.97,42.3,41.97,42.3,41.97,39.781666666666666,40.085,39.93,40.45416666666667,40.085,40.39666666666667,40.765,40.95583333333334,41.66166666666667,40.39666666666667
17,27.59,33.36,40.07,33.71,28.45,31.32,32.91,30.15,33.01,37.15,38.79,32.73,34.52,40.34,25.22,30.27,30.27,30.47,30.47,30.47,30.65,30.65,30.65,30.65,30.65,30.39,32.79833333333333,29.345,29.2,30.34,31.432,31.432,31.432,31.432,31.432
18,44.8,35.93,26.9,38.36,38.3,38.9,35.13,31.38,36.09,29.74,40.08,34.8,31.1,37.39,32.8,32.5,32.5,31.79,32.5,31.79,31.45,31.45,31.45,31.09,31.45,28.651000000000003,27.09,27.150666666666663,25.05,24.65,26.757666666666665,26.757666666666665,29.00966666666666,26.837666666666664,29.00966666666666
19,29.98,29.18,36.45,32.76,34.65,37.37,39.6,36.13,36.28,36.74,33.87,35.16,42.34,40.08,31.81,31.36,31.35,31.35,31.36,31.35,29.89,32.45,31.83,29.89,31.83,35.31933333333333,35.458333333333336,33.415,32.925,32.925,35.31,36.655,36.135,35.259,34.289
20,35.6,37.54,24.72,28.1,25.71,39.69,35.95,31.58,29.69,32.65,44.08,38.82,33.6,38.73,34.07,29.4,29.09,30.5,29.15,29.4,30.91,30.91,31.03,30.91,30.91,45.97,45.31333333333333,45.16666666666667,45.16666666666667,45.16666666666667,46.38,46.38,46.18,46.38,45.73
21,42.08,38.56,40.63,34.15,41.59,28.35,28.77,33.57,31.23,28.87,33.25,32.63,25.49,37.22,34.29,30.4,30.4,30.4,30.4,30.4,33.5,33.5,33.5,33.5,33.5,35.30833333333333,35.30833333333333,35.30833333333333,35.095000000000006,35.30833333333333,36.24116666666666,35.14666666666667,33.245,35.14666666666667,36.24116666666666
22,35.91,28.84,33.41,32.0,37.84,32.12,31.29,39.39,40.62,29.77,33.12,31.58,42.41,31.68,31.51,33.21,32.41,33.21,33.21,33.21,33.57,33.57,33.57,33.57,33.57,27.8,27.39,27.8,27.9,27.8,28.766666666666666,28.766666666666666,29.231666666666666,27.71,28.766666666666666
